Song,Artist,BPM,Style,Difficulty,Level
321STARS,DJ SIMON,192,Double,Challenge,15
321STARS,DJ SIMON,192,Single,Challenge,14
3y3s,青龍,191,Double,Challenge,18
3y3s,青龍,191,Single,Challenge,18
AA,D.J.Amuro,154,Double,Challenge,17
AA,D.J.Amuro,154,Single,Challenge,17
AFRONOVA,RE-VENGE,200,Double,Challenge,17
AFRONOVA,RE-VENGE,200,Single,Challenge,17
AFTER THE GAME OF LOVE,NPD3,105,Double,Challenge,12
AFTER THE GAME OF LOVE,NPD3,105,Single,Challenge,12
AM-3P,KTz,130,Double,Challenge,13
AM-3P,KTz,130,Single,Challenge,13
BABY BABY GIMME YOUR LOVE,DIVAS,96,Double,Challenge,13
BABY BABY GIMME YOUR LOVE,DIVAS,96,Single,Challenge,12
BE LOVIN,D-Crew,185,Double,Challenge,15
BE LOVIN,D-Crew,185,Single,Challenge,15
BRE∀K DOWN！,BeForU,190,Double,Challenge,16
BRE∀K DOWN！,BeForU,190,Single,Challenge,15
BROKEN MY HEART,NAOKI feat. PAULA TERRY,160,Double,Challenge,15
BROKEN MY HEART,NAOKI feat. PAULA TERRY,160,Single,Challenge,14
BURNIN' THE FLOOR,NAOKI,155,Double,Challenge,13
BURNIN' THE FLOOR,NAOKI,155,Single,Challenge,13
BURNING HEAT！（3 Option MIX）,Mr.T with Motoaki. F,166,Double,Challenge,16
BURNING HEAT！（3 Option MIX）,Mr.T with Motoaki. F,166,Single,Challenge,15
"Blind Justice ～Torn souls, Hurt Faiths～",Zektbach,137-165,Double,Challenge,17
"Blind Justice ～Torn souls, Hurt Faiths～",Zektbach,137-165,Single,Challenge,17
Blφφdy Cφncertφ,OSTER project & RoughSketch,210,Double,Challenge,17
Blφφdy Cφncertφ,OSTER project & RoughSketch,210,Single,Challenge,17
C-C-C-N-N-N,RoughSkreamZ feat. Aikapin,162-180,Double,Challenge,17
C-C-C-N-N-N,RoughSkreamZ feat. Aikapin,162-180,Single,Challenge,17
CANDY☆,Luv UNLIMITED,192,Double,Challenge,16
CANDY☆,Luv UNLIMITED,192,Single,Challenge,16
CUE CUE RESCUE,TORIENA,160,Double,Challenge,17
CUE CUE RESCUE,TORIENA,160,Single,Challenge,17
Can Be Real,Vision F,132,Double,Challenge,12
Can Be Real,Vision F,132,Single,Challenge,12
Chocolate Planet,Freezer feat.妃苺,185,Double,Challenge,17
Chocolate Planet,Freezer feat.妃苺,185,Single,Challenge,17
D2R,NAOKI,160,Double,Challenge,15
D2R,NAOKI,160,Single,Challenge,15
DIABLOSIS::Nāga,sky_delta,200,Double,Challenge,18
DIABLOSIS::Nāga,sky_delta,200,Single,Challenge,18
DROP OUT,NW260,260,Double,Challenge,17
DROP OUT,NW260,260,Single,Challenge,16
Destiny lovers,くにたけ みゆき,170,Double,Challenge,16
Destiny lovers,くにたけ みゆき,170,Single,Challenge,16
Dragon Blade,Kozo Nakamura,240,Double,Challenge,17
Dragon Blade,Kozo Nakamura,240,Single,Challenge,18
Drop The Bounce,Hommarju,75-150,Double,Challenge,16
Drop The Bounce,Hommarju,75-150,Single,Challenge,16
ECSTASY,d-complex,120-150,Double,Challenge,13
ECSTASY,d-complex,120-150,Single,Challenge,13
F4SH10N,aran,140,Double,Challenge,16
F4SH10N,aran,140,Single,Challenge,16
Four Leaves,Endor fin.,181,Double,Challenge,15
Four Leaves,Endor fin.,181,Single,Challenge,15
Funk Boogie,Funk Kid feat. KOOL BOYS.,127,Double,Challenge,12
Funk Boogie,Funk Kid feat. KOOL BOYS.,127,Single,Challenge,12
Gamelan de Couple,TOMOSUKE,150,Double,Challenge,16
Gamelan de Couple,TOMOSUKE,150,Single,Challenge,16
Ganymede -re:born-,"BEMANI Sound Team "" 玄武 feat. 二代目朱雀 """,72-164,Double,Challenge,17
Ganymede -re:born-,"BEMANI Sound Team "" 玄武 feat. 二代目朱雀 """,72-164,Single,Challenge,17
Get Back Up!,NMR runners,155,Double,Challenge,15
Get Back Up!,NMR runners,155,Single,Challenge,15
HIGHER,NM feat. SUNNY JAMES,132,Double,Challenge,12
HIGHER,NM feat. SUNNY JAMES,132,Single,Challenge,12
HYSTERIA,NAOKI 190,190,Double,Challenge,15
HYSTERIA,NAOKI 190,190,Single,Challenge,14
Healing Vision ～Angelic mix～,2MB,49-196,Double,Challenge,16
Healing Vision ～Angelic mix～,2MB,49-196,Single,Challenge,16
High & Low,Shouya Namai,210,Double,Challenge,18
High & Low,Shouya Namai,210,Single,Challenge,18
Holic,TaQ,155,Double,Challenge,15
Holic,TaQ,155,Single,Challenge,15
INSIDE YOUR HEART,AKIRA YAMAOKA,107,Double,Challenge,12
INSIDE YOUR HEART,AKIRA YAMAOKA,107,Single,Challenge,12
If,Pa's Lam System,170,Double,Challenge,17
If,Pa's Lam System,170,Single,Challenge,17
In The Breeze,96 & Sota ft. Mayumi Morinaga,123-142,Double,Challenge,14
In The Breeze,96 & Sota ft. Mayumi Morinaga,123-142,Single,Challenge,14
JET WORLD,Mutsuhiko Izumi,138,Double,Challenge,14
JET WORLD,Mutsuhiko Izumi,138,Single,Challenge,14
LOGICAL DASH,DJ TAKA,144,Double,Challenge,13
LOGICAL DASH,DJ TAKA,144,Single,Challenge,13
LOVE THIS FEELIN',Chang ma,95-190,Double,Challenge,17
LOVE THIS FEELIN',Chang ma,95-190,Single,Challenge,17
LOVE♥SHINE,小坂りゆ,177,Double,Challenge,13
LOVE♥SHINE,小坂りゆ,177,Single,Challenge,13
La Señorita,CAPTAIN.T,182,Double,Challenge,16
La Señorita,CAPTAIN.T,182,Single,Challenge,14
Lose Your Sense,ZxNX,44-175,Double,Challenge,18
Lose Your Sense,ZxNX,44-175,Single,Challenge,18
MAKE IT BETTER,mitsu-O!,119,Double,Challenge,14
MAKE IT BETTER,mitsu-O!,119,Single,Challenge,14
Music In The Rhythm,nc ft. 触電,155,Double,Challenge,13
Music In The Rhythm,nc ft. 触電,155,Single,Challenge,13
No.13,TAKA respect for J.S.B.,172,Double,Challenge,17
No.13,TAKA respect for J.S.B.,172,Single,Challenge,17
O JIYA,ASMAT & emi,151,Double,Challenge,17
O JIYA,ASMAT & emi,151,Single,Challenge,16
ONYX,SOUND HOLIC Vs. ZYTOKINE feat. Nana Takahashi,200,Double,Challenge,17
ONYX,SOUND HOLIC Vs. ZYTOKINE feat. Nana Takahashi,200,Single,Challenge,17
ORION.78(AMeuro-MIX),RE-VENGE,105,Double,Challenge,14
ORION.78(AMeuro-MIX),RE-VENGE,105,Single,Challenge,14
PARANOIA EVOLUTION,200,200,Double,Challenge,18
PARANOIA EVOLUTION,200,200,Single,Challenge,18
PUT YOUR FAITH IN ME,UZI-LAY,120,Double,Challenge,13
PUT YOUR FAITH IN ME,UZI-LAY,120,Single,Challenge,13
Quick Master,act deft,125-158,Double,Challenge,15
Quick Master,act deft,125-158,Single,Challenge,15
RED ZONE,Tatsh & NAOKI,165,Double,Challenge,17
RED ZONE,Tatsh & NAOKI,165,Single,Challenge,17
Re:RHYZE,be at na ti on RH YZE,200,Double,Challenge,18
Re:RHYZE,be at na ti on RH YZE,200,Single,Challenge,18
Red. by Full Metal Jacket,DJ Mass MAD Izm*,158,Double,Challenge,17
Red. by Full Metal Jacket,DJ Mass MAD Izm*,158,Single,Challenge,17
Remain,ZERO + ZIBA,75-300,Double,Challenge,18
Remain,ZERO + ZIBA,75-300,Single,Challenge,18
Right Time Right Way,KAN TAKAHIKO,174,Double,Challenge,16
Right Time Right Way,KAN TAKAHIKO,174,Single,Challenge,16
Riot of Color,TAG,75-150,Double,Challenge,17
Riot of Color,TAG,75-150,Single,Challenge,17
SAYONARA☆ディスコライト,nana (Sevencolors) feat.ジゼル・クイン,159,Double,Challenge,17
SAYONARA☆ディスコライト,nana (Sevencolors) feat.ジゼル・クイン,159,Single,Challenge,17
SEXY PLANET,Crystal Aliens,180,Double,Challenge,13
SEXY PLANET,Crystal Aliens,180,Single,Challenge,13
SURVIVAL AT THE END OF THE UNIVERSE,Akira Complex,150-200,Double,Challenge,18
SURVIVAL AT THE END OF THE UNIVERSE,Akira Complex,150-200,Single,Challenge,17
Silent Hill,THOMAS HOWARD,125,Double,Challenge,12
Silent Hill,THOMAS HOWARD,125,Single,Challenge,13
Silver Platform - I wanna get your heart -,U1 Reincarnates w/ Leah,140,Double,Challenge,13
Silver Platform - I wanna get your heart -,U1 Reincarnates w/ Leah,140,Single,Challenge,13
TRIP MACHINE～luv mix～,2MB,160,Double,Challenge,15
TRIP MACHINE～luv mix～,2MB,160,Single,Challenge,15
TRUE♥LOVE,jun feat. Schanita,188,Double,Challenge,15
TRUE♥LOVE,jun feat. Schanita,188,Single,Challenge,15
The Least 100sec,Hirofumi Sasaki,200-263,Double,Challenge,18
The Least 100sec,Hirofumi Sasaki,200-263,Single,Challenge,18
Tomorrow Perfume,dj TAKA,144,Double,Challenge,13
Tomorrow Perfume,dj TAKA,144,Single,Challenge,13
True Blue,dj TAKA feat. AiMEE,164,Double,Challenge,17
True Blue,dj TAKA feat. AiMEE,164,Single,Challenge,17
Unreal,Black Rose Garden,90-180,Double,Challenge,17
Unreal,Black Rose Garden,90-180,Single,Challenge,17
Unreality,sky_delta,174,Double,Challenge,17
Unreality,sky_delta,174,Single,Challenge,16
WILD RUSH,FACTOR-X,80-180,Double,Challenge,15
WILD RUSH,FACTOR-X,80-180,Single,Challenge,14
[ ]DENTITY,"BEMANI Sound Team "" HuΣeR """,100-200,Double,Challenge,18
[ ]DENTITY,"BEMANI Sound Team "" HuΣeR """,100-200,Single,Challenge,18
e-motion,e.o.s,140-145,Double,Challenge,12
e-motion,e.o.s,140-145,Single,Challenge,12
exotic ethnic,RevenG,190,Double,Challenge,15
exotic ethnic,RevenG,190,Single,Challenge,15
murmur twins,yu_tokiwa . djw,174,Double,Challenge,16
murmur twins,yu_tokiwa . djw,174,Single,Challenge,16
rainbow rainbow,Ryu☆,177,Double,Challenge,14
rainbow rainbow,Ryu☆,177,Single,Challenge,14
think ya better D,sAmi,136,Double,Challenge,14
think ya better D,sAmi,136,Single,Challenge,14
xenon,Mr.T,158,Double,Challenge,16
xenon,Mr.T,158,Single,Challenge,16
Übertreffen,TAKA respect for J.S.B.,174,Double,Challenge,18
Übertreffen,TAKA respect for J.S.B.,174,Single,Challenge,18
カゲロウ,Des-ROW ・ 組 スペシアルr,164,Double,Challenge,14
カゲロウ,Des-ROW ・ 組 スペシアルr,164,Single,Challenge,14
クリムゾンゲイト,工藤吉三 （ベイシスケイプ）,198,Double,Challenge,16
クリムゾンゲイト,工藤吉三 （ベイシスケイプ）,198,Single,Challenge,16
コメット⇒スケイター,U-ske feat. 棗いつき,150,Double,Challenge,17
コメット⇒スケイター,U-ske feat. 棗いつき,150,Single,Challenge,17
スーパー戦湯ババンバーン,"すわひでお , 秋成 , かぼちゃ , 藍月なくる , NU-KO by BEMANI Sound Team "" 八戸亀生羅 """,94-187,Double,Challenge,17
スーパー戦湯ババンバーン,"すわひでお , 秋成 , かぼちゃ , 藍月なくる , NU-KO by BEMANI Sound Team "" 八戸亀生羅 """,94-187,Single,Challenge,17
ハイテックトキオ,"lapix ∞ BEMANI Sound Team "" Sota Fujimori """,165,Double,Challenge,17
ハイテックトキオ,"lapix ∞ BEMANI Sound Team "" Sota Fujimori """,165,Single,Challenge,18
パ→ピ→プ→Yeah!,ヒゲドライバー join. shully & Nimo,160,Double,Challenge,16
パ→ピ→プ→Yeah!,ヒゲドライバー join. shully & Nimo,160,Single,Challenge,15
プレインエイジア -PHQ remix-,PHQUASE,182,Double,Challenge,17
プレインエイジア -PHQ remix-,PHQUASE,182,Single,Challenge,17
ミカヅキ:コネクト,かゆき,160,Double,Challenge,18
ミカヅキ:コネクト,かゆき,160,Single,Challenge,18
ミッドナイト☆WAR,いちか,156,Double,Challenge,17
ミッドナイト☆WAR,いちか,156,Single,Challenge,17
リリーゼと炎龍レーヴァテイン,黒猫ダンジョン,200,Double,Challenge,18
リリーゼと炎龍レーヴァテイン,黒猫ダンジョン,200,Single,Challenge,18
ロマンシングエスケープ,ここな つ2.0,132,Double,Challenge,14
ロマンシングエスケープ,ここな つ2.0,132,Single,Challenge,15
ロンロンへ　ライライライ！,ここなつ,156,Double,Challenge,15
ロンロンへ　ライライライ！,ここなつ,156,Single,Challenge,15
勇猛無比,Upper Cape Project,201,Double,Challenge,18
勇猛無比,Upper Cape Project,201,Single,Challenge,18
地方創生☆チクワクティクス,日向美ビタースイーツ♪,170,Double,Challenge,17
地方創生☆チクワクティクス,日向美ビタースイーツ♪,170,Single,Challenge,16
月に叢雲華に風,幽閉サテライト feat. senya,160,Double,Challenge,15
月に叢雲華に風,幽閉サテライト feat. senya,160,Single,Challenge,15
月光蝶,あさき,218,Double,Challenge,16
月光蝶,あさき,218,Single,Challenge,16
混乱少女♥そふらんちゃん!!,かめりあ feat. ななひら,32-259,Double,Challenge,18
混乱少女♥そふらんちゃん!!,かめりあ feat. ななひら,32-259,Single,Challenge,18
漆黒のスペシャルプリンセスサンデー,日向美ビタースイーツ♪,200,Double,Challenge,17
漆黒のスペシャルプリンセスサンデー,日向美ビタースイーツ♪,200,Single,Challenge,17
激アツ☆マジヤバ☆チアガール,日向美ビタースイーツ♪,170,Double,Challenge,15
激アツ☆マジヤバ☆チアガール,日向美ビタースイーツ♪,170,Single,Challenge,15
灼熱 Pt.2 Long Train Running,DJ Mass MAD Izm*,165,Double,Challenge,18
灼熱 Pt.2 Long Train Running,DJ Mass MAD Izm*,165,Single,Challenge,18
男々道,Des-ROW ・ 組,156-160,Double,Challenge,16
男々道,Des-ROW ・ 組,156-160,Single,Challenge,16
華爛漫 -Flowers-,TЁЯRA,160,Double,Challenge,14
華爛漫 -Flowers-,TЁЯRA,160,Single,Challenge,14
蒼い衝動 ～for EXTREME～,NAOKI feat. YUKI,145,Double,Challenge,12
蒼い衝動 ～for EXTREME～,NAOKI feat. YUKI,145,Single,Challenge,12
輪廻の鴉,"BEMANI Sound Team "" dj TAKA """,198,Double,Challenge,18
輪廻の鴉,"BEMANI Sound Team "" dj TAKA """,198,Single,Challenge,17
逆月,"BEMANI Sound Team "" HuΣeR "" feat. Fernweh",140-280,Double,Challenge,18
逆月,"BEMANI Sound Team "" HuΣeR "" feat. Fernweh",140-280,Single,Challenge,18
雪上断火,Des-ROW ・ 組,105-180,Double,Challenge,17
雪上断火,Des-ROW ・ 組,105-180,Single,Challenge,16
黒髪乱れし修羅となりて～凛 edition～,日向美ビタースイーツ♪,150,Double,Challenge,16
黒髪乱れし修羅となりて～凛 edition～,日向美ビタースイーツ♪,150,Single,Challenge,16
